Occurrence_Code,acft_model,num_eng,eng_type,crew_category,crew_age,latitude,longitude,light_cond,vis_sm,wx_temp,wind_dir_deg,wind_vel_kts,altimeter,code
553090,150G,1.0,REC,FLTI,22.0,405528N,0883726W,DAYL,10.0,7.0,290.0,20.0,30.3700008392334,UNK
553090,150G,1.0,REC,DSTU,20.0,405528N,0883726W,DAYL,10.0,7.0,290.0,20.0,30.3700008392334,UNK
450240,PA-23,2.0,REC,FLTI,61.0,028116N,0082240W,DAYL,7.0,64.0,80.0,3.0,30.2000007629395,UNK
450240,PA-23,2.0,REC,DSTU,40.0,028116N,0082240W,DAYL,7.0,64.0,80.0,3.0,30.2000007629395,UNK
300230,170B,1.0,REC,PLT,31.0,061114N,1495749W,DAYL,10.0,12.0,120.0,8.0,29.3400001525879,FSS
402191,PA-31-350,2.0,REC,PLT,31.0,392649N,1014811W,DAYL,10.0,27.0,320.0,5.0,30.2299995422363,UNK
250200,172I,1.0,REC,DSTU,29.0,424653N,0713051W,DAYL,10.0,34.0,270.0,9.0,30.1299991607666,NWS
402210,182L,1.0,REC,PLT,27.0,445917N,0903139W,DAYL,0.75,19.0,170.0,8.0,29.7600002288818,COWX
402210,182L,1.0,REC,DSTU,41.0,445917N,0903139W,DAYL,0.75,19.0,170.0,8.0,29.7600002288818,COWX
551092,152,1.0,REC,PLT,22.0,036222N,0955910W,DAYL,10.0,48.0,30.0,12.0,30.3500003814697,NWS
450120,172F,1.0,REC,PLT,55.0,401757N,1064017W,DAYL,10.0,32.0,80.0,4.0,30.3899993896484,AUTR
